15
150 100 70 30 25 25 255 255 0 255 0
265 488 100 30 27 45 255 255 0 255 0
391 414 100 30 49 39 255 255 0 255 0
536 351 200 30 45 42 255 255 0 255 0
571 521 100 30 83 73 255 255 0 255 0
781 625 100 30 113 71 255 255 0 255 0
773 274 100 30 47 32 255 255 0 255 0
904 181 100 30 32 62 255 255 0 255 0
981 518 300 30 104 76 255 255 0 255 0
1033 273 100 30 32 61 255 255 0 255 0
1172 349 100 30 40 44 255 255 0 255 0
1324 449 200 30 55 72 255 255 0 255 0
1541 384 100 30 23 35 255 255 0 255 0
1671 301 100 30 33 50 255 255 0 255 0
1815 238 100 30 45 32 0 255 0 255 0
